,line_item_id,quantity,product_id,product_name,price,total
93,94,14,38,Wooden Mouse,5.04,70.56
94,95,5,20,Licensed Cheese,3.93,19.650000000000002
95,96,5,36,Sleek Concrete Cheese,3.92,19.6
96,97,14,17,Fantastic Sausages,8.1,113.39999999999999
97,98,17,31,Steel Mouse,1.24,21.08
98,99,7,19,Hat,6.92,48.44
99,100,14,14,Handcrafted Hat,3.55,49.699999999999996
100,101,9,4,Ergonomic Wooden Soap,8.99,80.91
101,102,13,11,Shoes,7.13,92.69
102,103,11,12,Mouse,6.42,70.62
103,104,16,35,Practical Fish,8.83,141.28
104,105,9,48,Rubber Mouse,7.85,70.64999999999999
105,106,8,22,Small Shirt,6.81,54.48
106,107,14,26,Unbranded Chicken,4.86,68.04
107,108,1,30,Refined Cotton Sausages,3.78,3.78
108,109,4,59,Ball,8.45,33.8
109,110,8,34,Concrete Pants,8.52,68.16
110,111,7,44,Practical Tuna,1.0,7.0
111,112,1,28,Concrete Gloves,5.71,5.71
112,113,14,4,Ergonomic Wooden Soap,8.99,125.86
113,114,3,24,Plastic Pants,6.62,19.86
114,115,4,10,Cotton Sausages,9.89,39.56
115,116,10,51,Pants,9.89,98.9
116,117,4,10,Cotton Sausages,9.89,39.56
117,118,14,20,Licensed Cheese,3.93,55.02
118,119,2,3,Sausages,5.42,10.84
119,120,18,27,Table,2.67,48.06
120,121,8,11,Shoes,7.13,57.04
121,122,3,59,Ball,8.45,25.349999999999998
122,123,15,42,Mouse,9.46,141.9
123,124,19,2,For repair Soft Table,5.19,98.61000000000001
124,125,14,9,Unbranded Wooden Keyboard,0.83,11.62
125,126,16,27,Table,2.67,42.72
126,127,14,26,Unbranded Chicken,4.86,68.04
127,128,16,29,For repair Fresh Fish,9.26,148.16
128,129,5,6,Cotton Bike,8.34,41.7
129,130,16,15,Small Fish,1.34,21.44
130,131,10,12,Mouse,6.42,64.2
131,132,20,45,Handcrafted Wooden Fish,8.95,179.0
132,133,17,11,Shoes,7.13,121.21
133,134,14,47,Tuna,9.72,136.08
134,135,14,3,Sausages,5.42,75.88
135,136,5,36,Sleek Concrete Cheese,3.92,19.6
136,137,10,42,Mouse,9.46,94.60000000000001
137,138,10,28,Concrete Gloves,5.71,57.1
138,139,15,42,Mouse,9.46,141.9
139,140,19,53,Ergonomic Cheese,5.01,95.19
140,141,11,2,For repair Soft Table,5.19,57.09
141,142,17,1,Fantastic Shoes,2.25,38.25
142,143,14,2,For repair Soft Table,5.19,72.66000000000001
143,144,13,4,Ergonomic Wooden Soap,8.99,116.87
144,145,16,34,Concrete Pants,8.52,136.32
145,146,9,36,Sleek Concrete Cheese,3.92,35.28
146,147,6,20,Licensed Cheese,3.93,23.580000000000002
147,148,2,54,Licensed Plastic Bike,9.3,18.6
148,149,13,44,Practical Tuna,1.0,13.0
149,150,17,2,For repair Soft Table,5.19,88.23
150,151,7,53,Ergonomic Cheese,5.01,35.07
151,152,3,46,Sausages,3.79,11.370000000000001
152,153,3,47,Tuna,9.72,29.160000000000004
153,154,1,1,Fantastic Shoes,2.25,2.25
154,155,1,26,Unbranded Chicken,4.86,4.86
155,156,15,15,Small Fish,1.34,20.1
156,157,20,54,Licensed Plastic Bike,9.3,186.0
157,158,14,8,Concrete Cheese,1.46,20.439999999999998
158,159,2,6,Cotton Bike,8.34,16.68
159,160,5,25,Incredible Hat,1.92,9.6
160,161,11,1,Fantastic Shoes,2.25,24.75
161,162,3,29,For repair Fresh Fish,9.26,27.78
162,163,7,56,Refined Ball,6.3,44.1
163,164,16,59,Ball,8.45,135.2
164,165,8,54,Licensed Plastic Bike,9.3,74.4
165,166,20,38,Wooden Mouse,5.04,100.8
166,167,19,53,Ergonomic Cheese,5.01,95.19
167,168,12,41,Practical Steel Towels,4.49,53.88
168,169,19,26,Unbranded Chicken,4.86,92.34
169,170,20,26,Unbranded Chicken,4.86,97.2
170,171,12,36,Sleek Concrete Cheese,3.92,47.04
171,172,5,23,Bike,0.12,0.6
172,173,10,10,Cotton Sausages,9.89,98.9
173,174,4,54,Licensed Plastic Bike,9.3,37.2
174,175,2,44,Practical Tuna,1.0,2.0
175,176,13,4,Ergonomic Wooden Soap,8.99,116.87
176,177,13,10,Cotton Sausages,9.89,128.57
177,178,1,23,Bike,0.12,0.12
178,179,11,57,New Fresh Chips,7.73,85.03
179,180,19,22,Small Shirt,6.81,129.39
180,181,10,22,Small Shirt,6.81,68.1
181,182,20,53,Ergonomic Cheese,5.01,100.19999999999999
182,183,14,43,Salad,0.53,7.42
183,184,19,10,Cotton Sausages,9.89,187.91000000000003
184,185,20,12,Mouse,6.42,128.4
185,186,2,1,Fantastic Shoes,2.25,4.5
186,187,10,31,Steel Mouse,1.24,12.4
187,188,2,57,New Fresh Chips,7.73,15.46
188,189,8,40,Cotton Ball,6.59,52.72
189,190,5,51,Pants,9.89,49.45
190,191,12,49,Steel Sausages,5.35,64.19999999999999
191,192,19,45,Handcrafted Wooden Fish,8.95,170.04999999999998
192,193,12,15,Small Fish,1.34,16.080000000000002
193,194,9,31,Steel Mouse,1.24,11.16
194,195,13,22,Small Shirt,6.81,88.53
195,196,7,7,Sleek Granite Car,9.03,63.209999999999994
196,197,6,27,Table,2.67,16.02
197,198,11,24,Plastic Pants,6.62,72.82000000000001
198,199,6,20,Licensed Cheese,3.93,23.580000000000002
199,200,17,46,Sausages,3.79,64.43
200,201,9,15,Small Fish,1.34,12.06
201,202,11,1,Fantastic Shoes,2.25,24.75
202,203,10,41,Practical Steel Towels,4.49,44.900000000000006
203,204,9,40,Cotton Ball,6.59,59.31
204,205,5,4,Ergonomic Wooden Soap,8.99,44.95
205,206,6,43,Salad,0.53,3.18
206,207,18,59,Ball,8.45,152.1
207,208,4,25,Incredible Hat,1.92,7.68
208,209,18,56,Refined Ball,6.3,113.39999999999999
209,210,13,57,New Fresh Chips,7.73,100.49000000000001
210,211,20,47,Tuna,9.72,194.4
211,212,15,38,Wooden Mouse,5.04,75.6
212,213,19,23,Bike,0.12,2.28
213,214,16,20,Licensed Cheese,3.93,62.88
214,215,20,3,Sausages,5.42,108.4
215,216,16,42,Mouse,9.46,151.36
216,217,7,4,Ergonomic Wooden Soap,8.99,62.93
217,219,14,57,New Fresh Chips,7.73,108.22
218,220,17,49,Steel Sausages,5.35,90.94999999999999
219,221,6,39,Unbranded Wooden Hat,6.36,38.160000000000004
220,222,10,16,Gorgeous Salad,9.85,98.5
221,223,2,51,Pants,9.89,19.78
222,224,7,48,Rubber Mouse,7.85,54.949999999999996
223,225,20,49,Steel Sausages,5.35,107.0
224,226,3,6,Cotton Bike,8.34,25.02
225,227,18,37,Frozen Computer,2.26,40.67999999999999
226,228,9,20,Licensed Cheese,3.93,35.370000000000005
227,229,12,10,Cotton Sausages,9.89,118.68
228,230,18,45,Handcrafted Wooden Fish,8.95,161.1
229,231,16,7,Sleek Granite Car,9.03,144.48
230,232,9,43,Salad,0.53,4.7700000000000005
231,233,16,36,Sleek Concrete Cheese,3.92,62.72
232,234,15,40,Cotton Ball,6.59,98.85
233,235,16,48,Rubber Mouse,7.85,125.6
234,236,8,50,Fantastic Fish,9.59,76.72
235,237,11,27,Table,2.67,29.369999999999997
236,238,20,34,Concrete Pants,8.52,170.39999999999998
237,239,16,15,Small Fish,1.34,21.44
238,240,5,54,Licensed Plastic Bike,9.3,46.5
239,241,11,31,Steel Mouse,1.24,13.64
240,242,6,17,Fantastic Sausages,8.1,48.599999999999994
241,243,5,53,Ergonomic Cheese,5.01,25.049999999999997
242,244,11,17,Fantastic Sausages,8.1,89.1
243,245,12,3,Sausages,5.42,65.03999999999999
244,246,17,20,Licensed Cheese,3.93,66.81
245,247,13,6,Cotton Bike,8.34,108.42
246,248,19,37,Frozen Computer,2.26,42.94
247,249,14,13,Soft Pizza,1.81,25.34
248,250,1,2,For repair Soft Table,5.19,5.19
249,251,8,57,New Fresh Chips,7.73,61.84
250,252,13,46,Sausages,3.79,49.27
251,253,10,25,Incredible Hat,1.92,19.2
252,254,3,31,Steel Mouse,1.24,3.7199999999999998
253,255,18,7,Sleek Granite Car,9.03,162.54
254,256,5,52,Rubber Towels,4.72,23.599999999999998
255,257,5,20,Licensed Cheese,3.93,19.650000000000002
256,258,19,38,Wooden Mouse,5.04,95.76
257,259,18,48,Rubber Mouse,7.85,141.29999999999998
258,260,9,19,Hat,6.92,62.28
259,261,20,47,Tuna,9.72,194.4
260,262,4,13,Soft Pizza,1.81,7.24
261,263,20,21,Steel Car,9.18,183.6
262,265,2,2,For repair Soft Table,5.19,10.38
263,266,8,9,Unbranded Wooden Keyboard,0.83,6.64
264,267,17,45,Handcrafted Wooden Fish,8.95,152.14999999999998
265,268,12,3,Sausages,5.42,65.03999999999999
266,269,3,32,Tasty Pizza,4.15,12.450000000000001
267,270,7,27,Table,2.67,18.689999999999998
268,272,12,56,Refined Ball,6.3,75.6
269,273,5,1,Fantastic Shoes,2.25,11.25
270,274,12,47,Tuna,9.72,116.64000000000001
271,275,2,54,Licensed Plastic Bike,9.3,18.6
272,276,1,40,Cotton Ball,6.59,6.59
273,277,9,20,Licensed Cheese,3.93,35.370000000000005
274,278,10,45,Handcrafted Wooden Fish,8.95,89.5
275,279,7,31,Steel Mouse,1.24,8.68
276,280,2,6,Cotton Bike,8.34,16.68
277,281,1,3,Sausages,5.42,5.42
278,282,12,54,Licensed Plastic Bike,9.3,111.60000000000001
279,284,4,22,Small Shirt,6.81,27.24
280,285,18,11,Shoes,7.13,128.34
281,286,1,55,Chair,3.62,3.62
282,287,10,42,Mouse,9.46,94.60000000000001
283,288,8,35,Practical Fish,8.83,70.64
284,289,12,29,For repair Fresh Fish,9.26,111.12
285,290,9,42,Mouse,9.46,85.14000000000001
286,291,9,54,Licensed Plastic Bike,9.3,83.7
287,292,2,20,Licensed Cheese,3.93,7.86
288,293,20,7,Sleek Granite Car,9.03,180.6
289,294,3,32,Tasty Pizza,4.15,12.450000000000001
290,295,14,14,Handcrafted Hat,3.55,49.699999999999996
291,296,7,29,For repair Fresh Fish,9.26,64.82
292,297,13,52,Rubber Towels,4.72,61.36
293,298,15,36,Sleek Concrete Cheese,3.92,58.8
294,299,20,54,Licensed Plastic Bike,9.3,186.0
295,300,7,15,Small Fish,1.34,9.38
296,301,15,38,Wooden Mouse,5.04,75.6
297,302,11,37,Frozen Computer,2.26,24.86
298,303,9,3,Sausages,5.42,48.78
299,304,14,54,Licensed Plastic Bike,9.3,130.20000000000002
300,305,20,23,Bike,0.12,2.4
301,306,17,9,Unbranded Wooden Keyboard,0.83,14.11
302,307,20,49,Steel Sausages,5.35,107.0
303,308,4,31,Steel Mouse,1.24,4.96
304,309,18,18,Shirt,0.23,4.140000000000001
305,310,11,43,Salad,0.53,5.83
306,311,6,36,Sleek Concrete Cheese,3.92,23.52
307,312,14,43,Salad,0.53,7.42
308,313,20,34,Concrete Pants,8.52,170.39999999999998
309,314,20,19,Hat,6.92,138.4
310,315,18,49,Steel Sausages,5.35,96.3
311,316,13,32,Tasty Pizza,4.15,53.95
312,317,10,34,Concrete Pants,8.52,85.19999999999999
313,318,4,31,Steel Mouse,1.24,4.96
314,319,18,32,Tasty Pizza,4.15,74.7
315,320,1,43,Salad,0.53,0.53
316,321,17,51,Pants,9.89,168.13
317,322,11,59,Ball,8.45,92.94999999999999
318,323,18,20,Licensed Cheese,3.93,70.74000000000001
319,325,10,21,Steel Car,9.18,91.8
320,326,6,21,Steel Car,9.18,55.08
321,327,1,3,Sausages,5.42,5.42
322,328,9,5,Wooden Shoes,8.22,73.98
323,329,1,10,Cotton Sausages,9.89,9.89
324,330,3,32,Tasty Pizza,4.15,12.450000000000001
325,331,20,5,Wooden Shoes,8.22,164.4
326,332,11,25,Incredible Hat,1.92,21.119999999999997
327,333,11,31,Steel Mouse,1.24,13.64
328,334,19,44,Practical Tuna,1.0,19.0
329,335,11,4,Ergonomic Wooden Soap,8.99,98.89
330,336,2,54,Licensed Plastic Bike,9.3,18.6
331,337,1,5,Wooden Shoes,8.22,8.22
332,338,11,15,Small Fish,1.34,14.74
333,339,17,5,Wooden Shoes,8.22,139.74
334,340,12,10,Cotton Sausages,9.89,118.68
335,341,8,44,Practical Tuna,1.0,8.0
336,342,10,9,Unbranded Wooden Keyboard,0.83,8.299999999999999
337,343,12,13,Soft Pizza,1.81,21.72
338,344,3,13,Soft Pizza,1.81,5.43
339,345,19,1,Fantastic Shoes,2.25,42.75
340,346,15,52,Rubber Towels,4.72,70.8
341,347,5,34,Concrete Pants,8.52,42.599999999999994
342,348,19,30,Refined Cotton Sausages,3.78,71.82
343,349,12,34,Concrete Pants,8.52,102.24
344,350,20,48,Rubber Mouse,7.85,157.0
345,351,10,46,Sausages,3.79,37.9
346,352,15,59,Ball,8.45,126.74999999999999
347,353,17,26,Unbranded Chicken,4.86,82.62
348,354,8,46,Sausages,3.79,30.32
349,355,9,30,Refined Cotton Sausages,3.78,34.019999999999996
350,356,12,12,Mouse,6.42,77.03999999999999
351,357,15,9,Unbranded Wooden Keyboard,0.83,12.45
352,358,5,34,Concrete Pants,8.52,42.599999999999994
353,359,9,50,Fantastic Fish,9.59,86.31
354,360,5,24,Plastic Pants,6.62,33.1
355,361,15,53,Ergonomic Cheese,5.01,75.14999999999999
356,362,13,34,Concrete Pants,8.52,110.75999999999999
357,363,7,33,Steel Computer,7.42,51.94
358,364,14,46,Sausages,3.79,53.06
359,365,12,49,Steel Sausages,5.35,64.19999999999999
360,366,6,55,Chair,3.62,21.72
361,367,15,16,Gorgeous Salad,9.85,147.75
362,368,16,44,Practical Tuna,1.0,16.0
363,369,14,54,Licensed Plastic Bike,9.3,130.20000000000002
364,370,8,27,Table,2.67,21.36
365,371,16,45,Handcrafted Wooden Fish,8.95,143.2
366,372,7,7,Sleek Granite Car,9.03,63.209999999999994
367,373,18,40,Cotton Ball,6.59,118.62
368,374,17,10,Cotton Sausages,9.89,168.13
369,375,13,37,Frozen Computer,2.26,29.379999999999995
370,376,20,36,Sleek Concrete Cheese,3.92,78.4
371,377,7,23,Bike,0.12,0.84
372,378,6,20,Licensed Cheese,3.93,23.580000000000002
373,379,10,29,For repair Fresh Fish,9.26,92.6
374,380,2,39,Unbranded Wooden Hat,6.36,12.72
375,381,19,12,Mouse,6.42,121.98
376,382,5,56,Refined Ball,6.3,31.5
377,383,17,50,Fantastic Fish,9.59,163.03
378,384,13,24,Plastic Pants,6.62,86.06
379,385,11,9,Unbranded Wooden Keyboard,0.83,9.129999999999999
380,386,12,22,Small Shirt,6.81,81.72
381,387,13,5,Wooden Shoes,8.22,106.86000000000001
382,388,11,21,Steel Car,9.18,100.97999999999999
383,389,6,12,Mouse,6.42,38.519999999999996
384,390,18,9,Unbranded Wooden Keyboard,0.83,14.94
385,391,12,40,Cotton Ball,6.59,79.08
386,392,14,52,Rubber Towels,4.72,66.08
387,393,15,32,Tasty Pizza,4.15,62.25000000000001
388,394,5,40,Cotton Ball,6.59,32.95
389,395,1,53,Ergonomic Cheese,5.01,5.01
390,396,1,27,Table,2.67,2.67
391,397,3,21,Steel Car,9.18,27.54
392,398,2,3,Sausages,5.42,10.84
393,399,11,35,Practical Fish,8.83,97.13
394,400,3,32,Tasty Pizza,4.15,12.450000000000001
395,401,19,49,Steel Sausages,5.35,101.64999999999999
396,403,14,27,Table,2.67,37.379999999999995
397,404,1,18,Shirt,0.23,0.23
398,405,1,57,New Fresh Chips,7.73,7.73
399,406,20,27,Table,2.67,53.4
400,407,9,59,Ball,8.45,76.05
401,408,11,26,Unbranded Chicken,4.86,53.46
402,409,4,15,Small Fish,1.34,5.36
403,410,8,57,New Fresh Chips,7.73,61.84
404,411,5,28,Concrete Gloves,5.71,28.55
405,412,20,54,Licensed Plastic Bike,9.3,186.0
406,413,11,49,Steel Sausages,5.35,58.849999999999994
407,414,20,32,Tasty Pizza,4.15,83.0
408,415,12,32,Tasty Pizza,4.15,49.800000000000004
409,416,7,44,Practical Tuna,1.0,7.0
410,417,18,50,Fantastic Fish,9.59,172.62
411,418,19,17,Fantastic Sausages,8.1,153.9
412,419,2,6,Cotton Bike,8.34,16.68
413,420,19,37,Frozen Computer,2.26,42.94
414,421,6,21,Steel Car,9.18,55.08
415,422,10,41,Practical Steel Towels,4.49,44.900000000000006
416,423,12,36,Sleek Concrete Cheese,3.92,47.04
417,424,6,47,Tuna,9.72,58.32000000000001
418,425,8,15,Small Fish,1.34,10.72
419,426,13,30,Refined Cotton Sausages,3.78,49.14
420,427,12,29,For repair Fresh Fish,9.26,111.12
421,428,3,59,Ball,8.45,25.349999999999998
422,429,11,13,Soft Pizza,1.81,19.91
423,430,13,33,Steel Computer,7.42,96.46
424,431,6,18,Shirt,0.23,1.3800000000000001
425,432,17,37,Frozen Computer,2.26,38.419999999999995
426,433,17,55,Chair,3.62,61.54
427,434,17,18,Shirt,0.23,3.91
428,435,1,34,Concrete Pants,8.52,8.52
429,436,1,20,Licensed Cheese,3.93,3.93
430,437,7,37,Frozen Computer,2.26,15.819999999999999
431,438,17,37,Frozen Computer,2.26,38.419999999999995
432,439,5,21,Steel Car,9.18,45.9
433,440,4,37,Frozen Computer,2.26,9.04
434,441,17,51,Pants,9.89,168.13
435,442,19,12,Mouse,6.42,121.98
436,443,18,10,Cotton Sausages,9.89,178.02
437,444,6,4,Ergonomic Wooden Soap,8.99,53.94
438,445,3,11,Shoes,7.13,21.39
439,446,5,41,Practical Steel Towels,4.49,22.450000000000003
440,447,9,22,Small Shirt,6.81,61.29
441,448,18,20,Licensed Cheese,3.93,70.74000000000001
442,449,9,13,Soft Pizza,1.81,16.29
443,450,8,2,For repair Soft Table,5.19,41.52
444,451,7,4,Ergonomic Wooden Soap,8.99,62.93
445,452,12,29,For repair Fresh Fish,9.26,111.12
446,453,4,1,Fantastic Shoes,2.25,9.0
447,454,14,26,Unbranded Chicken,4.86,68.04
448,455,14,10,Cotton Sausages,9.89,138.46
449,456,9,53,Ergonomic Cheese,5.01,45.089999999999996
450,457,11,24,Plastic Pants,6.62,72.82000000000001
451,458,6,14,Handcrafted Hat,3.55,21.299999999999997
452,459,20,51,Pants,9.89,197.8
453,460,8,53,Ergonomic Cheese,5.01,40.08
454,461,4,33,Steel Computer,7.42,29.68
455,462,17,56,Refined Ball,6.3,107.1
456,463,4,56,Refined Ball,6.3,25.2
457,464,9,40,Cotton Ball,6.59,59.31
458,465,10,31,Steel Mouse,1.24,12.4
459,466,1,30,Refined Cotton Sausages,3.78,3.78
460,467,20,36,Sleek Concrete Cheese,3.92,78.4
461,468,16,11,Shoes,7.13,114.08
462,469,16,5,Wooden Shoes,8.22,131.52
463,470,20,44,Practical Tuna,1.0,20.0
464,471,13,8,Concrete Cheese,1.46,18.98
465,472,2,42,Mouse,9.46,18.92
466,473,20,39,Unbranded Wooden Hat,6.36,127.2
467,474,17,7,Sleek Granite Car,9.03,153.51
468,475,20,17,Fantastic Sausages,8.1,162.0
469,476,14,34,Concrete Pants,8.52,119.28
470,477,16,30,Refined Cotton Sausages,3.78,60.48
471,478,16,24,Plastic Pants,6.62,105.92
472,479,14,30,Refined Cotton Sausages,3.78,52.919999999999995
473,480,11,40,Cotton Ball,6.59,72.49
474,481,19,29,For repair Fresh Fish,9.26,175.94
475,482,3,40,Cotton Ball,6.59,19.77
476,483,5,14,Handcrafted Hat,3.55,17.75
477,484,4,30,Refined Cotton Sausages,3.78,15.12
478,485,17,3,Sausages,5.42,92.14
479,486,2,16,Gorgeous Salad,9.85,19.7
480,487,3,29,For repair Fresh Fish,9.26,27.78
481,488,6,28,Concrete Gloves,5.71,34.26
482,489,7,15,Small Fish,1.34,9.38
483,490,12,20,Licensed Cheese,3.93,47.160000000000004
484,491,8,40,Cotton Ball,6.59,52.72
485,492,10,6,Cotton Bike,8.34,83.4
486,493,1,16,Gorgeous Salad,9.85,9.85
487,494,17,5,Wooden Shoes,8.22,139.74
488,495,7,7,Sleek Granite Car,9.03,63.209999999999994
489,497,18,35,Practical Fish,8.83,158.94
490,498,3,55,Chair,3.62,10.86
491,500,15,13,Soft Pizza,1.81,27.150000000000002
492,501,1,30,Refined Cotton Sausages,3.78,3.78
493,502,16,9,Unbranded Wooden Keyboard,0.83,13.28
494,503,13,36,Sleek Concrete Cheese,3.92,50.96
495,504,5,33,Steel Computer,7.42,37.1
496,505,11,29,For repair Fresh Fish,9.26,101.86
497,506,15,42,Mouse,9.46,141.9
498,507,6,5,Wooden Shoes,8.22,49.32000000000001
499,509,10,8,Concrete Cheese,1.46,14.6
500,510,2,24,Plastic Pants,6.62,13.24
501,511,3,18,Shirt,0.23,0.6900000000000001
502,512,11,22,Small Shirt,6.81,74.91
503,513,5,24,Plastic Pants,6.62,33.1
504,514,1,5,Wooden Shoes,8.22,8.22
505,515,12,22,Small Shirt,6.81,81.72
506,516,8,51,Pants,9.89,79.12
507,517,14,54,Licensed Plastic Bike,9.3,130.20000000000002
508,518,17,41,Practical Steel Towels,4.49,76.33
509,519,12,4,Ergonomic Wooden Soap,8.99,107.88
510,520,16,39,Unbranded Wooden Hat,6.36,101.76
511,521,6,47,Tuna,9.72,58.32000000000001
512,522,2,53,Ergonomic Cheese,5.01,10.02
513,523,2,52,Rubber Towels,4.72,9.44
514,524,2,10,Cotton Sausages,9.89,19.78
515,525,12,27,Table,2.67,32.04
516,526,14,7,Sleek Granite Car,9.03,126.41999999999999
517,527,6,11,Shoes,7.13,42.78
518,528,20,58,Intelligent Chips,7.69,153.8
519,529,10,58,Intelligent Chips,7.69,76.9
520,530,16,56,Refined Ball,6.3,100.8
521,531,17,19,Hat,6.92,117.64
522,532,13,11,Shoes,7.13,92.69
523,533,6,28,Concrete Gloves,5.71,34.26
524,534,10,8,Concrete Cheese,1.46,14.6
525,535,16,28,Concrete Gloves,5.71,91.36
526,536,8,15,Small Fish,1.34,10.72
527,537,5,33,Steel Computer,7.42,37.1
528,538,7,26,Unbranded Chicken,4.86,34.02
529,539,14,21,Steel Car,9.18,128.51999999999998
530,540,8,6,Cotton Bike,8.34,66.72
531,541,1,9,Unbranded Wooden Keyboard,0.83,0.83
532,542,18,35,Practical Fish,8.83,158.94
533,543,7,3,Sausages,5.42,37.94
534,544,14,48,Rubber Mouse,7.85,109.89999999999999
535,545,13,22,Small Shirt,6.81,88.53
536,546,7,10,Cotton Sausages,9.89,69.23
537,547,11,29,For repair Fresh Fish,9.26,101.86
538,548,1,25,Incredible Hat,1.92,1.92
539,549,9,22,Small Shirt,6.81,61.29
540,550,8,7,Sleek Granite Car,9.03,72.24
541,551,4,10,Cotton Sausages,9.89,39.56
542,552,15,52,Rubber Towels,4.72,70.8
543,553,20,53,Ergonomic Cheese,5.01,100.19999999999999
544,554,14,58,Intelligent Chips,7.69,107.66000000000001
545,555,13,4,Ergonomic Wooden Soap,8.99,116.87
546,556,11,46,Sausages,3.79,41.69
547,557,2,17,Fantastic Sausages,8.1,16.2
548,558,13,25,Incredible Hat,1.92,24.96
549,559,14,11,Shoes,7.13,99.82
550,560,16,56,Refined Ball,6.3,100.8
